,CN: GDP: TI: Financial Intermediation,Population: Urban,Govt Revenue,Fixed Assets Investment: ytd: State Owned & Holding Enterprises,Valuables: 2011-12p
Region,China,China,China,China,India
Subnational,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,RMB bn,Person mn,RMB mn,RMB mn,INR mn
Source,National Bureau of Statistics,National Bureau of Statistics,Ministry of Finance,National Bureau of Statistics,Central Statistics Office
Status,Active,Active,Active,Active,Active
Series ID,1748301 (CAABAL),4943101 (CGGD),4314701 (CFFA),7873001 (COBDJV),365384457 (IAZDHAAAAAADUI)
SR Code,SR819326,SR56267,SR355373,SR601444,SR87501157
Mnemonic,,,,,IN.GDPGCFAQV.RL.INR-MN-Q
Function Information,,,,,
First Obs. Date,12/1952,12/1949,12/1950,01/2004,06/2011
Last Obs. Date,12/2018,12/2018,12/2018,12/2017,12/2018
Last Update Time,23/01/2019,21/01/2019,06/03/2019,22/01/2018,22/03/2019
Series remarks,,,,,
Suggestions,,,,,
03/2004,,,,407173,
04/2004,,,,649107,
05/2004,,,,925702,
06/2004,,,,1260523,
07/2004,,,,1570992,
08/2004,,,,1863831,
09/2004,,,,2191325,
10/2004,,,,2539010,
11/2004,,,,2836164,
12/2004,658.68,542.83,2639647,3371319,
01/2005,,,,214723,
02/2005,,,,214723,
03/2005,,,,446262,
04/2005,,,,707323,
05/2005,,,,997853,
06/2005,,,,1402849,
07/2005,,,,1744374,
08/2005,,,,2083360,
09/2005,,,,2464374,
10/2005,,,,2825805,
11/2005,,,,3206745,
12/2005,746.95,562.12,3164929,4004683,
01/2006,,,,249950,
02/2006,,,,249950,
03/2006,,,,524299,
04/2006,,,,844138,
05/2006,,,,1201545,
06/2006,,,,1690646,
07/2006,,,,2087850,
08/2006,,,,2466706,
09/2006,,,,2921887,
10/2006,,,,3327152,
11/2006,,,,3774557,
12/2006,995.17,582.88,3876020,4521161,
01/2007,,,,294568,
02/2007,,,,294568,
03/2007,,,,622420,
04/2007,,,,985732,
05/2007,,,,1389096,
06/2007,,,,1974877,
07/2007,,,,2431708,
08/2007,,,,2877747,
09/2007,,,,3395079,
10/2007,,,,3879976,
11/2007,,,,4388742,
12/2007,1517.37,606.33,5132178,5229303,
01/2008,,,,330757,
02/2008,,,,330757,
03/2008,,,,729018,
04/2008,,,,1152686,
05/2008,,,,1639744,
06/2008,,,,2355352,
07/2008,,,,2940397,
08/2008,,,,3483976,
09/2008,,,,4136024.7,
10/2008,,,,4707250.44,
11/2008,,,,5336468.39,
12/2008,1831.34,624.03,6133035,6413197.39,
01/2009,,,,448556,
02/2009,,,,448556,
03/2009,,,,1003578,
04/2009,,,,1605541.1,
05/2009,,,,2305456.81,
06/2009,,,,3330779.55,
07/2009,,,,4119185.47,
08/2009,,,,4872945.55,
09/2009,,,,5741071.05,
10/2009,,,,6541795.03,
11/2009,,,,7353500.59,
12/2009,2179.81,645.12,6851830,8653558.43,
01/2010,,,,571531.28,
02/2010,,,,571531.28,
03/2010,,,,1215584.62,
04/2010,,,,1939432.53,
05/2010,,,,2806436.96,
06/2010,,,,4045361.04,
07/2010,,,,4949021.66,
08/2010,,,,5845238.32,
09/2010,,,,6861621.23,
10/2010,,,,7794995.59,
11/2010,,,,8752022.52,
12/2010,2568.04,669.78,8310151,10212974.77,
01/2011,,,,643468.29,
02/2011,,,,643468.29,
03/2011,,,,1382913.96,
04/2011,,,,2203715.95,
05/2011,,,,3149734.47,
06/2011,,,,4304999.82,599267.27766871
07/2011,,,,5275205.47,
08/2011,,,,6242220.96,
09/2011,,,,7348055.8,654302.02765869
10/2011,,,,8393764.08,
11/2011,,,,9389421.81,
12/2011,3067.89,690.79,10387443,10748581.93,605171.38877875
01/2012,,,,699917.73,
02/2012,,,,699917.73,
03/2012,,,,1519088.34,671592.63876666
04/2012,,,,2430029.8,
05/2012,,,,3508235.2,
06/2012,,,,4898639.94,697691.07581519
07/2012,,,,6006868.13,
08/2012,,,,7122948.19,
09/2012,,,,8444426.64,645804.60996834
10/2012,,,,9689063.7,
11/2012,,,,10836208.56,
12/2012,3518.84,711.82,11725352,12369353.8,601959.58901289
01/2013,,,,818324.08,
02/2013,,,,818324.08,
03/2013,,,,1802908.9,654037.51783334
04/2013,,,,2870100,
05/2013,,,,4116114.39,
06/2013,,,,5734212.99,371165.73563641
07/2013,,,,7049478.03,
08/2013,,,,8387490.21,
09/2013,,,,9900129.94,377416.69972561
10/2013,,,,11304445.11,
11/2013,,,,12613257.09,
12/2013,4119.1,731.11,12920964,14405551.03,323988.64817071
01/2014,,,,928866.69,
02/2014,,,,928866.69,
03/2014,,,,2064369.82,416219.85416615
04/2014,,,,3273491.11,
05/2014,,,,4731854.69,
06/2014,,,,6566679.67,491333.17955394
07/2014,,,,8074088.99,
08/2014,,,,9539572.74,
09/2014,,,,11236937.83,452227.97623701
10/2014,,,,12799250.35,
11/2014,,,,14231055.07,
12/2014,4666.52,749.16,14037003,16162896.92,402309.59169988
01/2015,,,,1065785.12,
02/2015,,,,1065785.12,
03/2015,,,,2361077.01,533697.14981394
04/2015,,,,3655839.22,
05/2015,,,,5248959.04,
06/2015,,,,7374514.18,414854.95053316
07/2015,,,,9041107.47,
08/2015,,,,10669637.12,
09/2015,,,,12520130.58,484945.78070429
10/2015,,,,14264072.76,
11/2015,,,,15901521.75,
12/2015,5787.26,771.16,15226923,17893305.67,455073.1206129
01/2016,,,,1281392.87,
02/2016,,,,1281392.87,
03/2016,,,,2912009.56,504990.20630673
04/2016,,,,4521511.18,
05/2016,,,,6473342.94,
06/2016,,,,9108890.83,349340.85280879
07/2016,,,,11014704.78,
08/2016,,,,12955062.28,
09/2016,,,,15161710.45,370555.47921826
10/2016,,,,17186933.72,
11/2016,,,,19107971.33,
12/2016,6112.17,792.98,15960497,21309592.88,355344.99235864
01/2017,,,,1466242,
02/2017,,,,1466242,
03/2017,,,,3308679,432598.25456671
04/2017,,,,5147633,
05/2017,,,,7291214,
06/2017,,,,10202170,627282.62175695
07/2017,,,,12301255,
08/2017,,,,14382666,
09/2017,,,,16816414,461866.98808691
10/2017,,,,18988130,
11/2017,,,,21129500,
12/2017,6539.5,813.47,17259277,23288721,394011.89679108
03/2018,,,,,438042.31158748
06/2018,,,,,465433.15787869
09/2018,,,,,505642.99317188
12/2018,6909.99,831.37,18335184,,446449.97383469
