,CN: GDP: Anhui: Chaohu,CN: (DC)GDP: TI: Scientific Research and Ploytechnic Services,(DC)Base Lending Rate: Working Capital: 1 Year,"(DC)FAI: ytd: Growth: SI: Mfg: Garment, Footwear & Headgear Mfg","(DC)FAI: ytd: SI: Mfg: Instructment, Meter, Cultural & Office Machin"
Region,China,China,China,China,China
Subnational,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly
Unit,RMB bn,RMB bn,% pa,%,RMB mn
Source,National Bureau of Statistics,National Bureau of Statistics,The People's Bank of China,National Bureau of Statistics,National Bureau of Statistics
Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,146392301 (CAAHGB),1748801 (CAABAQ),7052801 (CMABB),7892501 (COBDRK),7883801 (COBDOB)
SR Code,SR1927130,SR819331,SR37056,SR158155,SR782354
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,12/1991,12/1990,02/1989,01/2004,01/2004
Last Obs. Date,12/2010,12/2003,10/2014,12/2011,12/2011
Last Update Time,25/09/2018,07/12/2010,03/03/2015,28/03/2012,13/03/2012
Series remarks,,,,,
04/2009,,,5.31,12.5,10048.09
05/2009,,,5.31,14.4,13527.83
06/2009,,,5.31,11.6,18375.75
07/2009,,,5.31,14,23775.24
08/2009,,,5.31,15.2,28390.89
09/2009,,,5.31,15.4,33477.55
10/2009,,,5.31,13.2,39668.33
11/2009,,,5.31,15,44747.52
12/2009,52.93628,,5.31,17,53021.2
01/2010,,,5.31,20.7,4942.74
02/2010,,,5.31,20.7,4942.74
03/2010,,,5.31,22.3,9170.54
04/2010,,,5.31,22.6,13000.38
05/2010,,,5.31,19,17518.33
06/2010,,,5.31,22.9,25581.42
07/2010,,,5.31,25.2,33197.11
08/2010,,,5.31,23.9,38933.98
09/2010,,,5.31,25.5,46842.19
10/2010,,,5.56,30.9,53507.57
11/2010,,,5.56,31.2,61751.12
12/2010,62.97332,,5.81,34.4,71171.18
01/2011,,,5.81,28.8,8100.62
02/2011,,,6.06,28.8,8100.62
03/2011,,,6.06,34.9,16880.7
04/2011,,,6.31,39.9,24292.46
05/2011,,,6.31,42.5,32237.43
06/2011,,,6.31,42.3,41799.38
07/2011,,,6.56,44.1,50885.47
08/2011,,,6.56,42.1,60727.77
09/2011,,,6.56,40.5,72071
10/2011,,,6.56,41,81864.98
11/2011,,,6.56,41.8,93649.03
12/2011,,,6.56,43,106399.14
01/2012,,,6.56,,
02/2012,,,6.56,,
03/2012,,,6.56,,
04/2012,,,6.56,,
05/2012,,,6.56,,
06/2012,,,6.31,,
07/2012,,,6,,
08/2012,,,6,,
09/2012,,,6,,
10/2012,,,6,,
11/2012,,,6,,
12/2012,,,6,,
01/2013,,,6,,
02/2013,,,6,,
03/2013,,,6,,
04/2013,,,6,,
05/2013,,,6,,
06/2013,,,6,,
07/2013,,,6,,
08/2013,,,6,,
09/2013,,,6,,
10/2013,,,6,,
11/2013,,,6,,
12/2013,,,6,,
01/2014,,,6,,
02/2014,,,6,,
03/2014,,,6,,
04/2014,,,6,,
05/2014,,,6,,
06/2014,,,6,,
07/2014,,,6,,
08/2014,,,6,,
09/2014,,,6,,
10/2014,,,6,,
