,New Apartments for Sale: ow Unreserved: Region: New Aquitaine,New Apartment Sold: Average Sales Price: Region: Corsica,New Houses for Sale: Region: Auvergne-Rhone Alps,Business Sales: PT: Photographic,Business Sales: RL: Personal and Household Goods Rental and Leasing
Region,France,France,France,Taiwan,Taiwan
Subnational,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,Unit,EUR/sq m,Unit,NTD mn,NTD mn
Source,"Ministry of Ecology, Sustainable Development and Energy","Ministry of Ecology, Sustainable Development and Energy","Ministry of Ecology, Sustainable Development and Energy",Ministry of Economic Affairs,Ministry of Economic Affairs
Status,Active,Active,Active,Active,Active
Series ID,389537337 (FREAIPAAAAAASR),389537457 (FREAIPAAAAAATD),389534487 (FREAIPAAAAAAUE),414262097 (WHMBACCD),414262017 (WHMBACAC)
SR Code,SR107320727,SR107320917,SR107320667,SR126196227,SR126196147
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,03/2005,12/2001,03/2005,03/2001,03/2001
Last Obs. Date,03/2019,03/2019,03/2019,03/2019,03/2019
Last Update Time,15/05/2019,15/05/2019,15/05/2019,15/05/2019,20/05/2019
Series remarks,,,,,
Suggestions,,,,,
12/2006,3061,2539.5434859,1472,2815.431,2218.064
03/2007,2317,2920.08054649,1645,2637.868,2112.631
06/2007,2806,2703.77383151,1793,2734.004,2163.709
09/2007,2398,3376.82041873,1919,2621.525,2317.19
12/2007,2011,2929.90883331,2019,2950.262,2232.037
03/2008,1659,2776.25473844,2010,2821.879,2106.094
06/2008,1847,3118.21062229,1962,2686.464,2186.656
09/2008,1028,2908.72614052,1992,2627.163,2133.94
12/2008,370,3178.19292697,2018,2554.678,1970.892
03/2009,712,2721.84267979,1799,2412.537,1635.901
06/2009,850,3046.6205844,1579,2607.847,1804.496
09/2009,1219,2978.88057395,1481,2652.222,1899.253
12/2009,1267,3060.40326184,1338,2795.646,1869.363
03/2010,1247,3228.06476864,1207,2670.857,1517.558
06/2010,1376,3002.10301349,1182,2935.094,1530.619
09/2010,1470,3211.96247062,1073,2683.647,1637.557
12/2010,1476,3040.87379269,1054,3128.433,1558.063
03/2011,1498,3269.26540284,984,2792.026,1382.866
06/2011,1475,3224.41913395,989,3307.399,1332.299
09/2011,2263,3295.63184581,939,2952.948,1415.047
12/2011,1906,2862.04210451,943,3126.287,1338.205
03/2012,2321,3254.19955777,1086,2745.615,1378.128
06/2012,2111,3497.8115505,1094,3086.245,1330.175
09/2012,1682,3360.72981296,1242,2993.503,1379.123
12/2012,1316,3239.73408074,1355,3023.747,1383.893
03/2013,1216,3691.716623,1429,2829.942,1404.564
06/2013,2261,3553.93115994,1455,3402.349,1369.499
09/2013,1833,3418.97905237,1503,3246.53,1372.421
12/2013,1762,3115.48836959,1554,3452.477,1503.478
03/2014,1348,3389.56961326,1491,3214.641,1531.87
06/2014,1526,3313.45817287,1496,3437.197,1552.876
09/2014,1278,3561.20790047,1578,3232.353,1593.921
12/2014,1357,3331.4050219,1595,3444.369,1681.565
03/2015,1191,3396.44723794,1440,2764.38,1775.67
06/2015,1633,3427.75882503,1463,3216.579,1696.281
09/2015,2090,3670.71225847,1459,2749.335,1623.05
12/2015,2238,3711.4963009,1532,3410.344,1760.476
03/2016,1759,3221.197919,1515,2631.67,1994.334
06/2016,2104,3457.18764283,1472,2769.76,1806.592
09/2016,1995,3548.38125732,1491,2401.805,1701.46
12/2016,1773,3651.48450597,1430,2609.192,1634.88
03/2017,2395,3542.8361281,1564,2362.14,2006.807
06/2017,2352,3409.81256824,1512,2481.232,1752.966
09/2017,1268,4000.28381096,1458,2407.229,1826.135
12/2017,1683,3361.43699581,1544,2716.372,1894.849
03/2018,2456,3565.38075686,1587,2110.501,2096.909
06/2018,2138,3610.05096568,1519,2922.334,1865.412
09/2018,1625,3716.00804138,1490,2214.333,1875.787
12/2018,1676,3539.55849933,1431,2702.378,1898.656
03/2019,1389,3325.8284688,1375,2181.408,1957.49
