,LEAP - 4026 (Parent Series),daily series test 1,International Reserves,Testing 9.7 (f),QC Team Testing: Case: 985.11
Region,Test,Test,Chile,Test,Test
Subnational,,,,,
Frequency,"Daily, ""5 observation""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""5 observation"""
Unit,%,Person,USD mn,Unit,NA
Source,CDM_Stress_Test_STP_QA_Akshata,test22_10,Central Bank of Chile,Test AC 9.7,QC_Test (Full Scale)
Status,Active,Active,Active,Active,Active
Series ID,366946997 (CDCC),352636197,114157808,383129097,379564047
SR Code,SR88307687,SR88086077,SR1393378,SR101306137,SR108100567
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,02/02/2015,01/12/2013,31/12/1995,28/10/2016,13/01/2003
Last Obs. Date,27/03/2015,18/12/2013,07/05/2019,06/12/2016,26/08/2016
Last Update Time,27/03/2015,12/02/2016,15/05/2019,10/10/2018,26/08/2016
Series remarks,,this is my remark,,,
Suggestions,,,,,
23/12/1999,,,14659.43222,,
31/12/1999,,,14946.29725,,
07/01/2000,,,14661.78778,,
15/01/2000,,,14632.37008,,
23/01/2000,,,14669.3102,,
31/01/2000,,,14480.56559,,
07/02/2000,,,14502.55101,,
15/02/2000,,,14667.66058,,
23/02/2000,,,14628.70923,,
29/02/2000,,,14558.21529,,
07/03/2000,,,14574.32749,,
15/03/2000,,,14617.80962,,
23/03/2000,,,14638.1368,,
31/03/2000,,,14768.66159,,
07/04/2000,,,14773.88868,,
15/04/2000,,,14826.5463,,
23/04/2000,,,14827.05877,,
30/04/2000,,,14659.72113,,
07/05/2000,,,14640.24311,,
15/05/2000,,,14626.98157,,
23/05/2000,,,14840.28652,,
31/05/2000,,,14931.35939,,
07/06/2000,,,14867.78143,,
15/06/2000,,,14753.71383,,
23/06/2000,,,14707.2753,,
30/06/2000,,,14875.29869,,
07/07/2000,,,14949.38895,,
15/07/2000,,,14929.58494,,
23/07/2000,,,14910.76376,,
31/07/2000,,,14868.77604,,
07/08/2000,,,14899.87941,,
15/08/2000,,,14935.56925,,
23/08/2000,,,14885.61633,,
31/08/2000,,,14703.24184,,
07/09/2000,,,14672.39935,,
15/09/2000,,,14633.08783,,
23/09/2000,,,14616.26167,,
30/09/2000,,,14425.39377,,
07/10/2000,,,14488.14084,,
15/10/2000,,,14490.55091,,
23/10/2000,,,14616.75965,,
31/10/2000,,,14559.6615,,
07/11/2000,,,14518.32017,,
15/11/2000,,,14502.91345,,
23/11/2000,,,14467.49499,,
30/11/2000,,,14540.83949,,
07/12/2000,,,14568.69042,,
15/12/2000,,,14915.26905,,
23/12/2000,,,14583.41977,,
31/12/2000,,,15110.27788,,
07/01/2001,,,14913.2146,,
15/01/2001,,,14921.4239,,
23/01/2001,,,15005.802,,
31/01/2001,,,14856.33573,,
07/02/2001,,,14796.7366,,
15/02/2001,,,14808.47104,,
23/02/2001,,,14786.97559,,
28/02/2001,,,14826.00802,,
07/03/2001,,,14757.57121,,
15/03/2001,,,14885.6489,,
23/03/2001,,,14992.88854,,
31/03/2001,,,14868.6264,,
07/04/2001,,,14861.13277,,
15/04/2001,,,14799.49224,,
23/04/2001,,,14828.26105,,
30/04/2001,,,14669.87665,,
07/05/2001,,,14905.45059,,
15/05/2001,,,14730.45713,,
23/05/2001,,,15153.6446,,
31/05/2001,,,14696.79531,,
07/06/2001,,,14822.51074,,
15/06/2001,,,14777.44368,,
23/06/2001,,,14745.75736,,
30/06/2001,,,14542.70682,,
07/07/2001,,,14603.03553,,
15/07/2001,,,14604.25275,,
23/07/2001,,,14523.34696,,
31/07/2001,,,14683.35024,,
07/08/2001,,,14604.8431,,
15/08/2001,,,14592.71584,,
23/08/2001,,,14850.10627,,
31/08/2001,,,14900.36529,,
07/09/2001,,,14834.35691,,
15/09/2001,,,14811.93189,,
23/09/2001,,,14612.41912,,
30/09/2001,,,14595.13122,,
07/10/2001,,,14462.79949,,
15/10/2001,,,14308.57449,,
23/10/2001,,,14924.82164,,
31/10/2001,,,14467.46806,,
07/11/2001,,,14597.30703,,
15/11/2001,,,14729.63798,,
23/11/2001,,,14682.00323,,
30/11/2001,,,14379.24666,,
07/12/2001,,,14363.02168,,
15/12/2001,,,14614.99983,,
23/12/2001,,,14587.81087,,
31/12/2001,,,14399.90342,,
07/01/2002,,,14429.65753,,
15/01/2002,,,14412.80942,,
23/01/2002,,,14387.86367,,
31/01/2002,,,14225.07267,,
07/02/2002,,,14101.89215,,
15/02/2002,,,13042.86644,,
23/02/2002,,,14224.49869,,
28/02/2002,,,14128.56024,,
07/03/2002,,,14067.34973,,
15/03/2002,,,14236.47359,,
23/03/2002,,,14265.3908,,
31/03/2002,,,14149.86255,,
07/04/2002,,,14250.98912,,
15/04/2002,,,14433.45343,,
23/04/2002,,,14979.94276,,
30/04/2002,,,15417.49547,,
07/05/2002,,,15784.06131,,
15/05/2002,,,15752.80937,,
23/05/2002,,,15657.84039,,
31/05/2002,,,15142.52425,,
07/06/2002,,,15090.07531,,
15/06/2002,,,15162.08493,,
23/06/2002,,,15352.30191,,
30/06/2002,,,15222.7637,,
07/07/2002,,,15108.9507,,
15/07/2002,,,15020.23016,,
23/07/2002,,,15244.15837,,
31/07/2002,,,15098.77077,,
07/08/2002,,,14977.21928,,
15/08/2002,,,15006.24374,,
23/08/2002,,,14990.10294,,
31/08/2002,,,14935.35626,,
07/09/2002,,,14870.54095,,
15/09/2002,,,15124.10959,,
23/09/2002,,,15111.95279,,
30/09/2002,,,14739.64291,,
07/10/2002,,,14799.8215,,
15/10/2002,,,14934.02482,,
23/10/2002,,,15146.18106,,
31/10/2002,,,14910.96638,,
07/11/2002,,,15024.04165,,
15/11/2002,,,15386.28883,,
23/11/2002,,,15242.27678,,
30/11/2002,,,15177.46306,,
07/12/2002,,,15189.02341,,
15/12/2002,,,15575.0336,,
23/12/2002,,,15366.40136,,
31/12/2002,,,15351.12806,,
07/01/2003,,,15247.62437,,
13/01/2003,,,,,193.64261168
14/01/2003,,,,,193.81443299
15/01/2003,,,16592.30728,,194.32989691
16/01/2003,,,,,194.32989691
17/01/2003,,,,,194.67353952
20/01/2003,,,,,194.32989691
21/01/2003,,,,,194.50171821
22/01/2003,,,,,194.32989691
23/01/2003,,,16595.80591,,194.32989691
24/01/2003,,,,,194.50171821
27/01/2003,,,,,194.50171821
28/01/2003,,,,,194.50171821
29/01/2003,,,,,194.50171821
30/01/2003,,,,,194.50171821
31/01/2003,,,16428.72915,,194.50171821
04/02/2003,,,,,194.50171821
05/02/2003,,,,,194.50171821
06/02/2003,,,,,194.50171821
07/02/2003,,,16422.57298,,194.50171821
10/02/2003,,,,,194.50171821
11/02/2003,,,,,194.67353952
12/02/2003,,,,,194.67353952
13/02/2003,,,,,194.67353952
14/02/2003,,,,,194.84536082
15/02/2003,,,16715.02488,,
17/02/2003,,,,,194.84536082
18/02/2003,,,,,194.84536082
19/02/2003,,,,,194.84536082
20/02/2003,,,,,195.01718213
21/02/2003,,,,,195.01718213
23/02/2003,,,16534.43905,,
24/02/2003,,,,,195.18900344
25/02/2003,,,,,195.18900344
26/02/2003,,,,,195.36082474
27/02/2003,,,,,195.36082474
28/02/2003,,,16445.75148,,195.53264605
03/03/2003,,,,,195.70446735
04/03/2003,,,,,195.70446735
05/03/2003,,,,,195.70446735
06/03/2003,,,,,195.70446735
07/03/2003,,,16355.45706,,195.70446735
10/03/2003,,,,,195.70446735
11/03/2003,,,,,195.87628866
12/03/2003,,,,,195.87628866
13/03/2003,,,,,195.87628866
14/03/2003,,,,,195.87628866
15/03/2003,,,16626.7441,,
17/03/2003,,,,,195.87628866
18/03/2003,,,,,195.87628866
19/03/2003,,,,,195.87628866
20/03/2003,,,,,195.87628866
21/03/2003,,,,,195.87628866
23/03/2003,,,16626.1406,,
25/03/2003,,,,,195.87628866
26/03/2003,,,,,195.87628866
27/03/2003,,,,,195.87628866
28/03/2003,,,,,195.87628866
31/03/2003,,,16499.1381,,195.87628866
